# Supplementary table 1 of Takahashi et al. PASJ
#
# ML classification results of 1824 HSC SNe
#
# column  1, Index:	Index
# column  2, Name:	SN Name
# column  3, Case:	Case (-1 if not available)
# column  4, z:		Redshift (NaN if not available)
# column  5, z_err1:	Redshift error 1
# column  6, z_err2:	Redshift error 2
# column  7, z_src:	Redshift source (1: spec-z, 2: COSMOS photo-z, 3: HSC photo-z ultra-deep, 4: HSC photo-z deep, 0: hostless)
# column  8, dof:	Degree of freedom in SALT2 fitting
# column  9, Label:	SN type labeled by SALT2 fitting (UC: unclassified)
# column 10, F_cover:	Flag indicating whether the photometric data covers the period of 10 days before and 20 days after the peak
# column 11, M2_Ia:	Ia probability in binary classification with pseudo-absolute magnitude (M) and normalized flux (f)
# column 12, M3_Ia:	Ia probability in 3-class classification with M and f
# column 13, M3_Ibc:	Ibc probability in 3-class classification with M and f
# column 14, M3_II:	II probability in 3-class classification with M and f
# column 15, M3_pred:	SN type in 3-class classification with M and f
# column 16, m2_Ia:	Ia probability in binary classification with magnitude (m) and normalized flux (f)
# column 17, m3_Ia:	Ia probability in 3-class classification with m and f
# column 18, m3_Ibc:	Ibc probability in 3-class classification with m and f
# column 19, m3_II:	II probability in 3-class classification with m and f
# column 20, m3_pred:	SN type in 3-class classification with m and f
#
#Index	Name		Case	z	z_err1	z_err2	z_src	dof	Label	F_cover	M2_Ia	M3_Ia	M3_Ibc	M3_II	M3_pred	m2_Ia	m3_Ia	m3_Ibc	m3_II	m3_pred
69	HSC16aasd	0	0.186	0.000	0.000	1	12	nonIa	True	0.005	0.008	0.009	0.982	II	0.018	0.026	0.018	0.956	II
70	HSC16aasf	0	1.044	-0.012	0.016	2	12	nonIa	False	0.381	0.299	0.644	0.058	Ibc	0.236	0.183	0.682	0.134	Ibc
71	HSC16aasn	0	0.680	0.000	0.000	1	18	nonIa	False	0.333	0.327	0.032	0.641	II	0.317	0.345	0.283	0.372	II
72	HSC16aaso	0	0.932	0.000	0.000	1	21	nonIa	True	0.813	0.448	0.001	0.551	II	0.170	0.169	0.216	0.615	II
73	HSC16aata	0	0.190	-0.007	0.017	3	9	nonIa	False	0.088	0.057	0.121	0.822	II	0.394	0.305	0.002	0.693	II
74	HSC16aatc	0	0.190	-0.034	0.046	3	5	nonIa	False	0.517	0.472	0.421	0.107	Ia	0.692	0.740	0.148	0.112	Ia
75	HSC16aatf	0	0.298	0.000	0.000	1	18	nonIa	True	0.025	0.025	0.011	0.963	II	0.021	0.043	0.013	0.944	II
76	HSC16aatp	0	1.084	0.000	0.000	1	19	Ia	False	0.607	0.635	0.234	0.131	Ia	0.797	0.799	0.091	0.110	Ia
77	HSC16aaub	0	0.838	0.000	0.000	1	18	nonIa	False	0.715	0.289	0.015	0.697	II	0.143	0.324	0.273	0.403	II
78	HSC16aaud	0	0.323	-0.167	0.091	2	18	nonIa	True	0.064	0.106	0.061	0.833	II	0.025	0.057	0.025	0.918	II
79	HSC16aauf	0	0.422	-0.025	0.032	2	18	Ia	True	0.915	0.930	0.003	0.068	Ia	0.856	0.890	0.013	0.097	Ia
80	HSC16aaux	0	0.677	0.000	0.000	1	16	Ia?	False	0.390	0.441	0.364	0.196	Ia	0.491	0.308	0.522	0.170	Ibc
81	HSC16aavc	0	0.308	-0.007	0.009	2	8	nonIa	False	0.234	0.102	0.372	0.526	II	0.703	0.602	0.012	0.386	Ia
82	HSC16aavd	0	0.543	0.000	0.000	1	8	nonIa	False	0.645	0.733	0.002	0.265	Ia	0.547	0.686	0.018	0.296	Ia
83	HSC16aavw	0	0.355	0.000	0.000	1	13	nonIa	False	0.109	0.073	0.068	0.859	II	0.058	0.119	0.129	0.752	II
84	HSC16aawd	0	0.048	0.000	0.000	1	0	UC	False	0.071	0.022	0.815	0.163	Ibc	0.949	0.966	0.003	0.031	Ia
85	HSC16aawf	0	0.886	0.000	0.000	1	22	Ia	True	0.975	0.968	0.002	0.030	Ia	0.969	0.974	0.004	0.021	Ia
86	HSC16aawo	2	NaN	0.000	0.000	0	3	UC	True	NaN	NaN	NaN	NaN	NaN	0.427	0.538	0.034	0.428	Ia
87	HSC16aawt	0	0.522	-0.040	0.023	2	18	Ia?	False	0.019	0.020	0.028	0.952	II	0.068	0.127	0.029	0.844	II
88	HSC16aawv	0	1.214	-0.016	0.059	2	20	Ia	True	0.956	0.988	0.000	0.012	Ia	0.972	0.944	0.001	0.056	Ia
89	HSC16aaww	0	0.742	-0.020	0.020	2	17	Ia	False	0.889	0.933	0.032	0.035	Ia	0.905	0.923	0.012	0.065	Ia
90	HSC16aawy	0	1.178	-0.009	0.010	2	20	Ia	False	0.942	0.961	0.007	0.032	Ia	0.330	0.392	0.527	0.081	Ibc
91	HSC16aaxa	0	0.363	0.000	0.000	1	18	nonIa	True	0.071	0.046	0.035	0.919	II	0.054	0.086	0.027	0.888	II
92	HSC16aaxb	0	0.554	0.000	0.000	1	8	Ia	False	0.331	0.378	0.057	0.565	II	0.267	0.416	0.098	0.486	II
93	HSC16aaxd	0	0.726	0.000	0.000	1	18	nonIa	True	0.374	0.285	0.001	0.714	II	0.364	0.237	0.001	0.762	II
94	HSC16aaxe	0	0.806	0.000	0.000	1	18	nonIa	False	0.338	0.241	0.066	0.693	II	0.185	0.287	0.103	0.609	II
95	HSC16aaxf	0	0.173	0.000	0.000	1	8	nonIa	False	0.158	0.124	0.739	0.137	Ibc	0.173	0.117	0.713	0.170	Ibc
96	HSC16aaxn	0	NaN	0.000	0.000	0	24	Ia	True	NaN	NaN	NaN	NaN	NaN	0.638	0.499	0.376	0.125	Ia
97	HSC16aayt	2	1.550	-0.515	0.375	3	3	UC	True	0.357	0.289	0.000	0.710	II	0.037	0.014	0.008	0.978	II
98	HSC16aayu	0	0.362	0.000	0.000	1	8	nonIa	False	0.272	0.243	0.076	0.682	II	0.637	0.546	0.024	0.430	Ia
99	HSC16aayy	0	0.870	-0.007	0.007	2	13	Ia?	False	0.863	0.891	0.017	0.092	Ia	0.842	0.878	0.020	0.102	Ia
100	HSC16aayz	0	0.674	-0.005	0.006	1	8	Ia?	False	0.685	0.698	0.005	0.297	Ia	0.470	0.644	0.188	0.168	Ia
101	HSC16aazc	0	0.246	0.000	0.000	1	13	nonIa	False	0.049	0.018	0.215	0.767	II	0.029	0.024	0.010	0.966	II
102	HSC16aazh	0	1.083	-0.018	0.014	2	16	Ia?	False	0.223	0.225	0.010	0.765	II	0.062	0.077	0.119	0.804	II
103	HSC16aazi	0	0.572	-0.381	0.083	2	17	nonIa	True	0.024	0.030	0.003	0.966	II	0.044	0.026	0.013	0.961	II
104	HSC16aazl	0	0.748	-0.035	0.048	2	26	nonIa	True	0.274	0.255	0.170	0.575	II	0.142	0.129	0.063	0.808	II
105	HSC16aazo	0	NaN	0.000	0.000	0	25	Ia	True	NaN	NaN	NaN	NaN	NaN	0.883	0.885	0.006	0.109	Ia
106	HSC16aazp	0	0.635	0.000	0.000	1	8	Ia?	False	0.827	0.955	0.020	0.025	Ia	0.545	0.549	0.390	0.060	Ia
107	HSC16aazq	1	0.470	-0.058	0.055	3	7	Ia?	False	0.268	0.243	0.065	0.692	II	0.169	0.124	0.031	0.844	II
108	HSC16aazu	0	0.540	-0.027	0.030	3	16	Ia?	False	0.617	0.647	0.001	0.352	Ia	0.331	0.616	0.030	0.354	Ia
109	HSC16aazv	0	2.620	-1.373	0.283	3	11	nonIa	False	0.139	0.084	0.000	0.916	II	0.471	0.321	0.624	0.056	Ibc
110	HSC16aazx	0	0.687	0.000	0.000	1	18	Ia?	True	0.477	0.538	0.036	0.426	Ia	0.206	0.260	0.290	0.450	II
111	HSC16aazy	0	0.488	-0.012	0.013	1	11	Ia	False	0.682	0.770	0.161	0.068	Ia	0.904	0.853	0.048	0.100	Ia
112	HSC16abae	1	0.740	-0.019	0.022	3	7	Ia	False	0.162	0.141	0.020	0.840	II	0.149	0.142	0.028	0.830	II
113	HSC16abag	0	0.142	0.000	0.000	1	2	UC	False	0.433	0.479	0.024	0.497	II	0.446	0.594	0.004	0.402	Ia
114	HSC16abbm	0	1.145	-0.014	0.021	2	13	Ia	False	0.797	0.909	0.061	0.030	Ia	0.860	0.900	0.033	0.067	Ia
115	HSC16abbn	0	0.433	0.000	0.000	1	8	nonIa	False	0.358	0.367	0.084	0.549	II	0.307	0.586	0.210	0.204	Ia
116	HSC16abbq	1	0.310	0.000	0.000	1	7	nonIa	False	0.257	0.011	0.000	0.989	II	0.420	0.008	0.000	0.992	II
117	HSC16abbt	0	0.068	0.000	0.000	1	6	nonIa	True	0.324	0.335	0.073	0.592	II	0.180	0.242	0.065	0.693	II
118	HSC16abbu	0	0.209	-0.104	0.275	2	2	UC	False	0.290	0.117	0.662	0.222	Ibc	0.604	0.615	0.127	0.258	Ia
119	HSC16abbv	0	0.946	-0.114	0.116	2	20	nonIa	True	0.413	0.542	0.148	0.309	Ia	0.404	0.307	0.058	0.635	II
120	HSC16abbz	1	0.345	0.000	0.000	1	8	nonIa	False	0.522	0.587	0.004	0.409	Ia	0.620	0.613	0.011	0.376	Ia
121	HSC16abck	0	1.116	-0.019	0.018	2	12	Ia	False	0.749	0.557	0.384	0.059	Ia	0.400	0.475	0.435	0.090	Ia
122	HSC16abcl	0	0.727	-0.016	0.015	2	19	nonIa	True	0.591	0.641	0.211	0.147	Ia	0.610	0.717	0.068	0.215	Ia
123	HSC16abcs	0	0.941	-0.015	0.053	2	14	Ia?	False	0.446	0.585	0.351	0.065	Ia	0.494	0.474	0.413	0.113	Ia
124	HSC16abcv	0	0.940	-0.025	0.025	3	14	Ia	False	0.696	0.529	0.434	0.037	Ia	0.473	0.369	0.602	0.029	Ibc
125	HSC16abcw	0	0.470	-0.016	0.029	3	8	nonIa	False	0.281	0.246	0.680	0.074	Ibc	0.249	0.249	0.485	0.266	Ibc
126	HSC16abcz	1	0.139	0.000	0.000	1	13	nonIa	True	0.260	0.332	0.250	0.417	II	0.661	0.683	0.018	0.299	Ia
127	HSC16abdw	2	NaN	0.000	0.000	0	14	Ia?	False	NaN	NaN	NaN	NaN	NaN	0.779	0.805	0.024	0.171	Ia
128	HSC16abeh	0	0.591	0.000	0.000	1	17	Ia	False	0.870	0.924	0.003	0.072	Ia	0.915	0.874	0.003	0.123	Ia
129	HSC16abft	0	0.708	-0.021	0.021	2	17	nonIa	False	0.020	0.018	0.002	0.979	II	0.023	0.038	0.002	0.960	II
130	HSC16abhg	0	3.590	-0.262	0.216	3	7	Ia?	False	0.165	0.032	0.000	0.968	II	0.117	0.165	0.385	0.450	II
131	HSC16abhw	0	0.640	-0.007	0.007	2	18	Ia?	False	0.459	0.523	0.001	0.476	Ia	0.226	0.462	0.048	0.490	II
132	HSC16abih	0	1.054	-0.030	0.044	2	20	nonIa	True	0.308	0.337	0.006	0.657	II	0.034	0.026	0.117	0.856	II
133	HSC16ablg	0	0.674	-0.056	0.063	2	18	nonIa	True	0.027	0.035	0.004	0.960	II	0.030	0.032	0.003	0.965	II
134	HSC16abmi	2	0.752	0.000	0.000	1	15	Ia	True	0.297	0.220	0.003	0.777	II	0.057	0.056	0.017	0.927	II
135	HSC16abmm	2	0.340	-0.043	0.477	3	3	UC	False	0.262	0.281	0.341	0.378	II	0.856	0.767	0.091	0.142	Ia
136	HSC16abmn	2	NaN	0.000	0.000	0	13	nonIa	False	NaN	NaN	NaN	NaN	NaN	0.305	0.291	0.136	0.573	II
137	HSC16abmp	2	1.170	-0.034	0.032	3	17	nonIa	True	0.044	0.017	0.000	0.983	II	0.066	0.018	0.000	0.982	II
138	HSC16abnv	0	0.219	0.000	0.000	1	15	nonIa	True	0.488	0.496	0.009	0.495	Ia	0.491	0.414	0.026	0.560	II
139	HSC16abny	0	0.778	0.000	0.000	1	21	nonIa	True	0.088	0.107	0.188	0.705	II	0.139	0.095	0.035	0.869	II
140	HSC16aboc	0	1.322	-0.059	0.056	2	26	nonIa	True	0.452	0.320	0.526	0.154	Ibc	0.134	0.046	0.022	0.932	II
141	HSC16aboi	0	0.840	-0.004	0.005	1	24	Ia	True	0.539	0.758	0.160	0.082	Ia	0.457	0.647	0.274	0.079	Ia
142	HSC16abpu	0	0.180	-0.010	0.012	4	13	nonIa	False	0.149	0.091	0.399	0.511	II	0.431	0.533	0.285	0.182	Ia
143	HSC16abpz	0	0.707	-0.622	0.141	2	9	nonIa	False	0.093	0.076	0.056	0.868	II	0.060	0.052	0.011	0.937	II
144	HSC16abqj	1	0.990	-0.044	0.051	3	5	nonIa	False	0.156	0.107	0.000	0.893	II	0.066	0.041	0.004	0.955	II
